scientificname	longitude	latitude	collectioncode	catalognumber	identifiedby	country	stateprovince	county	locality	daycollected	monthcollected	yearcollected	collector	collectornumber	notes	source
Aralia warmingiana 	-40.522778	-13.316111	HUEFS	178098	NA	Brazil	BA	NA	Estrada para MarcionÃ­lio Souza, ca. 12,6 km da cidade.	3	11	2011	Melo, E.	10559	Caatinga, beira da estrada.	gbif
Aralia warmingiana 	-40.5	-12.419444	HUEFS	141901	NA	Brazil	BA	NA	ARIE Serra do OrobÃ³. Fazenda LeÃ£o dos Brejos.	16	8	2008	Queiroz, L.P.de	13685	Floresta estacional semi-decidual.	gbif
Aralia warmingiana 	-42.412222	-13.297222	ALCB	80257	NA	Brazil	BA	NA	Chapada Diamantina, Chapada Diamantina	28	4	2007	ConceiÃ§Ã£o, AA; Harley, RM; Santos, RM; Rocha, DSB	1888	NA	gbif
Aralia warmingiana 	-42.245556	-13.297222	HUEFS	119255	P.Fiaschi	Brazil	BA	NA	Caminho Catuarama para Mateus.	28	4	2007	ConceiÃ§Ã£o, A.A.	1888	Caatinga.	gbif
Aralia warmingiana 	-42.178611	-12.433333	HUEFS	118163	NA	Brazil	BA	NA	Ca, 51 Km W de Seabra na BR 242.	9	4	2007	Queiroz, L.P.de	12666	Caatinga.	gbif
Aralia warmingiana 	-44.32	-13.586111	HUEFS	118237	NA	Brazil	BA	NA	Ca, 5 Km S em estrada de terra que cruza pequeno ramal que sai a 5.1 km E de Ponto d'Ã¡gua, a 24,4 Km S de SÃ£o FÃ©lix do Coribe na estrada para Coribe.	10	4	2007	Queiroz, L.P.de	12740	Floresta estacional.	gbif
Aralia warmingiana 	-39.1839	-12.1617	NA	1144310	NA	Brazil	BA	Anguera	Fazenda Retiro, ca. 18 km de Feira de Santana na Estrada do FeijÃ£o sentido IpirÃ¡.	22	5	2007	D. B. O. S. Cardoso	1962	NA	gbif
Aralia warmingiana 	-39.183889	-12.161667	HUEFS	120049	NA	Brazil	BA	NA	Fazenda Retiro, ca. 18 Km de Feira de Santana na Estrada do FeijÃ£o sentido IpirÃ¡.	22	5	2007	Cardoso, D.	1962	Floresta estacional semidecÃ­dua com dossel a ca. 20 m alt. e afloramentos rochosos no topo da serra.	gbif
Aralia warmingiana 	-41.501667	-12.327222	HUEFS	122759	NA	Brazil	BA	NA	NA	12	7	2007	Santos, R.M.	1822	Caatinga.	gbif
Aralia warmingiana 	-44.968889	-12.376944	HUEFS	122708	R.M.Santos	Brazil	BA	NA	BR 135.	2	7	2007	Santos, R.M.	1771	Caatinga arbÃ³rea e afloramento de calcÃ¡rio.	gbif
Aralia warmingiana 	-39.1839	-12.1617	NYBG_BR	1144310		Brasil	BA	Anguera	Fazenda Retiro, ca. 18 km de Feira de Santana na Estrada do Feijão sentido Ipirá.	22	5	2007	D. B. O. S. Cardoso	1962	<a href=\http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1287245\ target=\other\ class=\eLink\> <mi>dwc_moreinfo</mi></a>	splink
Aralia warmingiana 	-44.32	-13.586111	HUEFS	118237		Brasil	BA	Coribe	Ca, 5 Km S em estrada de terra que cruza pequeno ramal que sai a 5.1 km E de Ponto d'água, a 24,4 Km S de São Félix do Coribe na estrada para Coribe.	10	4	2007	Queiroz, L.P.de	12740	Floresta estacional.	splink
Aralia warmingiana 	-42.245556	-13.297222	HUEFS	119255	P.Fiaschi	Brasil	BA	Paramirim	Caminho Catuarama para Mateus.	28	4	2007	Conceição, A.A.	1888	Caatinga.	splink
Aralia warmingiana 	-39.183889	-12.161667	HUEFS	120049		Brasil	BA	Anguera	Fazenda Retiro, ca. 18 Km de Feira de Santana na Estrada do Feijão sentido Ipirá.	22	5	2007	Cardoso, D.	1962	Floresta estacional semidecídua com dossel a ca. 20 m alt. e afloramentos rochosos no topo da serra.	splink
Aralia warmingiana 	-44.968889	-12.376944	HUEFS	122708	R.M.Santos	Brasil	BA	São Desidério	BR 135.	2	7	2007	Santos, R.M.	1771	Caatinga arbórea e afloramento de calcário.	splink
Aralia warmingiana 	-41.501667	-12.327222	HUEFS	122759		Brasil	BA	Iraquara		12	7	2007	Santos, R.M.	1822	Caatinga.	splink
Aralia warmingiana 	-40.5	-12.419444	HUEFS	141901		Brasil	BA	Itaberaba	ARIE Serra do Orobó. Fazenda Leão dos Brejos.	16	8	2008	Queiroz, L.P.de	13685	Floresta estacional semi-decidual.	splink
Aralia warmingiana 	-40.522778	-13.316111	HUEFS	178098		Brasil	BA	Maracás	Estrada para Marcionílio Souza, ca. 12,6 km da cidade.	3	11	2011	Melo, E.	10559	Caatinga, beira da estrada.	splink
Aralia warmingiana 	-39.8536	-10.6917	IPA	50582	Barroso, G.M.	Brasil	BA	Itiuba	Fazenda Experimental da EPABA	25	5	1983	Pinto, G.C.P.; Bautista, H.P.; Bautista, H.P.	91	Árvore de aproximadamente 6m de altura, fuste retilíneo com casca , lembrando o pau-d'arco roxo; madeira mole.; Vegetação: Floresta Estacional Decidual.	splink.mun
Aralia warmingiana 	-41.1561	-11.55	HUEFS	137414		Brasil	BA	Morro do Chapéu	Buraco da Duda ou Buracão.	19	4	2008	Melo, E.	5678	Caatinga. Afloramento de calcário.	splink.mun
Aralia warmingiana 	-39.0064722222222	-7.71033333333333	HVASF	21235	D.G. Oliveira	Brasil	CE	Jati	Reservatório Jati	27	8	2013	D.G. Oliveira	1029	Árvore ca. de 7m alt.. Caule com ritidoma espesso, rugoso, fissuras longitudinais. Ramos jovens com cicatrizes foliares. Folhas bipinadas, espiraladas. Flores com tonalidade creme-alva. Frutos em desenvolvimento.	splink
Aralia warmingiana 	-39.0064444444444	-7.71033333333333	HVASF	21598	E. Melo	Brasil	CE	Jati	Reservatório Jati, coletado na cota mais baixa um vale	22	11	2013	D.G. Oliveira	1059	Árvore ca. de 6,5m alt.. Caule com ritidoma espesso, rugoso, fissuras longitudinais. Ramos jovens com cicatrizes foliares. Folhas bipinadas, espiraladas. Flores com tonalidade creme-alva. Frutos coloração creme em desenvolvimento.	splink
Aralia warmingiana 	-39.006472	-7.710333	HVASFW	413	D.G. Oliveira	Brasil	CE	Jati	Reservatório Jati	27	8	2013	D.G. Oliveira	1029	Árvore ca. de 7m alt.. Caule com ritidoma espesso, rugoso, fissuras longitudinais. Ramos jovens com cicatrizes foliares. Folhas bipinadas, espiraladas. Flores com tonalidade creme-alva. Frutos em desenvolvimento.	splink
