id	Long	Lat
B.balansae	-50.937544	-21.945639
B.balansae	-51.693667	-22.280583
B.balansae	-52.363111	-22.521944
B.balansae	-53.19225	-22.26475
B.balansae	-55.063694	-22.292917
B.balansae	-56.111333	-22.172889
B.balansae	-56.797833	-21.976028
B.balansae	-57.655472	-21.7075
B.balansae	-56.917278	-21.742667
B.balansae	-56.420944	-21.182694
B.balansae	-56.424917	-20.207806
B.balansae	-57.449611	-19.427278
B.balansae	-54.397611	-20.493528
B.balansae	-52.020222	-20.754528
B.balansae	-49.390944	-20.859417
B.balansae	-48.310528	-22.575389
B.balansae	-54.209972	-16.790278
B.balansae	-55.761361	-15.443694
B.balansae	-56.700194	-16.494556
B.balansae	-56.939639	-17.117361
B.balansae	-57.7435	-15.994861
B.balansae	-57.513056	-16.246972
B.balansae	-54.699222	-18.436514
B.balansae	-54.012833	-25.242
B.balansae	-53.577556	-26.28025
B.balansae	-53.886639	-27.272917
B.balansae	-55.572833	-28.496917
B.balansae	-56.516667	-22.116667
B.balansae	-66.75	-14.666667
B.balansae	-48.3	-24.05
B.balansae	-49.3	-20.55
B.balansae	-49.183333	-20.3
B.balansae	-47.0888	-22.8532
B.balansae	-43.433333	-20.05
B.balansae	-43.683333	-19.183333
B.balansae	-48.872194	-17.721694
B.balansae	-56.100028	-15.598889
B.balansae	-59.759889	-14.315861
B.balansae	-55.518917	-15.868944
B.balansae	-49.842361	-23.644583
