scientificname	longitude	latitude	collectioncode	catalognumber	identifiedby	country	stateprovince	county	locality	daycollected	monthcollected	yearcollected	collector	collectornumber	notes	source
Cavanillesia umbellata	-70.26083	-3.81692	COAH	33296	CÃ¡rdenas, D.	Colombia	Amazonas	Leticia	PNN Amacayacu, sector de Mata-MatÃ¡.	20	8	1998	Arias-G., J.C.	559	Ejemplar botÃ¡nico	gbif
Cavanillesia umbellata	-70.54944	-3.76115	COAH	33513	CÃ¡rdenas, D.	Colombia	Amazonas	Puerto NariÃ±o	San Pedro de Tipisca, rÃ­o LoretoyacÃº (afluente del rÃ­o Amazonas), terraza baja, moderadamente disectadas	30	8	1996	Posada, A.	2548	Ejemplar botÃ¡nico	gbif
Cavanillesia umbellata	-70.25	-3.7	FMB	FMB-053862	FernÃ¡ndez-Alonso, JosÃ©	Colombia	Amazonas	Leticia	Alrededores de la quebrada Agua Pudre	24	3	1992	Rudas, AgustÃ­n; Giraldo, D.; Tuberguias, D.; Uribe, F.	3613	NA	gbif
Cavanillesia umbellata	-70.25	-3.733333	HUIS	11111	A. Rudas	Colombia	Amazonas	Leticia	Parque Nacional Natural Amacayacu, quebrada Agua Pudre	24	3	1992	Rudas A.	3613	Ãrbol # 1146 de 10 m. x 24.3 cm	gbif
Cavanillesia umbellata	-70.25	-3.7	MO	189845	A. Rudas (COL)	Colombia	Amazonas	NA	Municipio de Leticia. Parque Nacional Natural Amacayacu. Alrededores de la quebrada Agua Pudre en bosque de terra firme. Parcela E, No. 17.	24	3	1992	Agustin Rudas L.|Diego Giraldo-CaÃ±as|et al.	Rudas Lleras 3613	NA	gbif
Cavanillesia umbellata	-78.63333	-4.5	MO	910332	A. Gentry (MO)	Peru	Amazonas	Condorcanqui	RÃ­o Cenepa.  Vicinity of Huampami, ca. 5 km. east of ChÃ¡vez ValdÃ­via. Chigkan entsa.  Al lado de su casa de UnÃ­sum.  En bosque secundario.	14	8	1978	Ernesto Ancuash Atsut	Ancuash Atsut 1489	NA	gbif
Cavanillesia umbellata	-43.2206	-12.1853	HPL	4291	V.C. Souza	Brasil	BA	Ibotirama	Coletada na estrada para Barreiras.	18	8	1994	H. Lorenzi	1601		splink.mun
Cavanillesia umbellata	-39.046944	-12.221389	HUEFS	195680	NA	Brazil	BA	NA	Fazenda Cruzeiro do MocÃ³.	13	5	2013	Queiroz, A.S.	45	NA	gbif
Cavanillesia umbellata	-41.063611	-13.929167	HUEFS	171799	NA	Brazil	BA	NA	estrada de terra para a Faz. Vargem Grande, saindo da rodovia Contendas do SincorÃ¡-AnagÃ©.	11	3	2011	Carvalho-Sobrinho, J.G.de	2959	Caatinga.	gbif
Cavanillesia umbellata	-41.535278	-14.162222	HUEFS	171808	NA	Brazil	BA	NA	estrada para Sussuarana, ca. 15km do entroncamento.	13	3	2011	Carvalho-Sobrinho, J.G.de	2968	Caatinga.	gbif
