Specie	LONGITUDE	LATITUDE	OBSERVATION DATE
T_nigriceps	-64.6356239	-24.6931288	27/10/1997
T_nigriceps	-64.6356239	-24.6931288	28/10/1997
T_nigriceps	-64.6356239	-24.6931288	19/10/1997
T_nigriceps	-64.6356239	-24.6931288	24/10/1997
T_nigriceps	-64.6356239	-24.6931288	31/10/1997
T_nigriceps	-64.6356239	-24.6931288	08/10/1997
T_nigriceps	-64.6356239	-24.6931288	10/10/1997
T_nigriceps	-64.6356239	-24.6931288	25/10/1997
T_nigriceps	-64.6356239	-24.6931288	09/10/1997
T_nigriceps	-64.6356239	-24.6931288	29/10/1997
T_nigriceps	-64.6356239	-24.6931288	30/10/1997
T_nigriceps	-64.6356239	-24.6931288	16/10/1997
T_nigriceps	-64.6356239	-24.6931288	15/10/1997
T_nigriceps	-64.6356239	-24.6931288	02/11/1997
T_nigriceps	-64.6356239	-24.6931288	04/11/1997
T_nigriceps	-65.9765911	-26.0725116	08/06/1998
T_nigriceps	-66.25	-25.45	04/10/2001
T_nigriceps	-66.1571667	-25.1183333	17/08/2003
T_nigriceps	-65.3788	-24.7656	24/03/2005
T_nigriceps	-65.921	-25.2778333	05/03/2006
T_nigriceps	-65.5059385	-24.7326153	03/05/2009
T_nigriceps	-65.5055416	-24.7325854	15/06/2009
T_nigriceps	-65.4894805	-24.7139327	14/09/2009
T_nigriceps	-65.5078736	-24.7224423	19/09/2009
T_nigriceps	-64.6356239	-24.6931288	28/09/2011
T_nigriceps	-64.9254227	-25.8579878	01/05/2012
T_nigriceps	-65.3344917	-24.5095279	08/12/2012
T_nigriceps	-65.4856667	-24.6343333	23/11/2013
T_nigriceps	-65.358814	-24.5269396	17/12/2013
T_nigriceps	-65.3415728	-24.5106186	17/12/2013
T_nigriceps	-65.3415728	-24.5106186	23/01/2014
T_nigriceps	-65.3146219	-24.5055032	28/01/2014
T_nigriceps	-65.3146219	-24.5055032	28/01/2014
T_nigriceps	-65.3670645	-24.5767875	28/01/2014
T_nigriceps	-65.3146219	-24.5055032	28/01/2014
T_nigriceps	-65.4822063	-24.6574702	09/02/2014
T_nigriceps	-65.4856667	-24.6343333	09/02/2014
T_nigriceps	-65.4822063	-24.6574702	09/02/2014
T_nigriceps	-65.3146219	-24.5055032	01/02/2014
T_nigriceps	-65.3146219	-24.5055032	01/02/2014
T_nigriceps	-65.3146219	-24.5055032	01/02/2014
T_nigriceps	-65.1260948	-25.738055	21/05/2014
T_nigriceps	-65.1260948	-25.738055	22/05/2014
T_nigriceps	-65.1260948	-25.738055	24/05/2014
T_nigriceps	-65.1260948	-25.738055	24/05/2014
T_nigriceps	-65.3415728	-24.5106186	31/05/2014
T_nigriceps	-65.3415728	-24.5106186	31/05/2014
T_nigriceps	-65.3415728	-24.5106186	31/05/2014
T_nigriceps	-65.1260948	-25.738055	25/05/2014
T_nigriceps	-65.1260948	-25.738055	26/05/2014
T_nigriceps	-65.1260948	-25.738055	25/05/2014
T_nigriceps	-65.1260948	-25.738055	26/05/2014
T_nigriceps	-65.1260948	-25.738055	22/05/2014
T_nigriceps	-65.1260948	-25.738055	21/05/2014
T_nigriceps	-65.1260948	-25.738055	23/05/2014
T_nigriceps	-65.1260948	-25.738055	22/05/2014
T_nigriceps	-65.3146219	-24.5055032	22/06/2014
T_nigriceps	-65.3146219	-24.5055032	22/06/2014
T_nigriceps	-65.3146219	-24.5055032	22/06/2014
T_nigriceps	-64.6809769	-25.2682942	03/07/2014
T_nigriceps	-65.4894805	-24.7139327	14/09/2014
T_nigriceps	-64.4466162	-22.5480743	02/10/2014
T_nigriceps	-64.4466162	-22.5480743	02/10/2014
T_nigriceps	-64.4466162	-22.5480743	02/10/2014
T_nigriceps	-65.4856667	-24.6343333	16/11/2014
T_nigriceps	-65.3146219	-24.5055032	16/01/2015
T_nigriceps	-65.3146219	-24.5055032	16/01/2015
T_nigriceps	-65.3	-24.6833333	18/04/2015
T_nigriceps	-65.3	-24.6833333	18/04/2015
T_nigriceps	-65.3	-24.6833333	18/04/2015
T_nigriceps	-64.6809769	-25.2682942	06/05/2015
