"scientificname" "longitude" "latitude" "collectioncode" "catalognumber" "identifiedby" "country" "stateprovince" "county" "locality" "daycollected" "monthcollected" "yearcollected" "collector" "collectornumber" "notes" "source"
"Cavanillesia arborea (Willd.) K.Schum." -46.8675 -13.744167 "HEPH" "32252" NA "Brazil" "GoiÃ¡s" NA "Entrada de Nova Roma" 25 8 2016 "Jesus, FPR de" "412" "Muito frequente; Ãrvore 15m; flor creme; fruto verde, fica marrom quando maduro; Campo rupestre; solo rochoso" "gbif"
"Cavanillesia umbellata Ruiz & Pav." -39.046944 -12.221389 "HUEFS" "195680" NA "Brazil" "Bahia" NA "Fazenda Cruzeiro do MocÃ³." 13 5 2013 "Queiroz, A.S." "45" NA "gbif"
"Cavanillesia arborea (Willd.) K.Schum." NA NA "CVRD" "14487" "Folli, D. A" "Brazil" "Es" NA NA 13 8 2013 "Folli, D.A." "7103" "Mata de aluvial na cabruca cacau. <ll>dwc_commonname:</ll> Barriguda" "gbif"
"Cavanillesia arborea (Willd.) K.Schum." -40.331256 -19.825304 "CVRD" "13900" "Folli, D. A." "Brazil" "Es" NA NA 19 9 2012 "Folli, D.A." "6914" "<ll>dwc_commonname:</ll> Barriguda" "gbif"
"Cavanillesia umbellata Ruiz & Pav." NA NA "HUEFS" "171827" NA "Brazil" "Bahia" NA "localidade de Porto Novo, 8km da vila em direÃ§Ã£o a Santana." 15 3 2011 "Carvalho-Sobrinho, J.G.de" "2987" "Caatinga sobre afloramentos calcÃ¡rios." "gbif"
"Cavanillesia umbellata Ruiz & Pav." -41.063611 -13.929167 "HUEFS" "171799" NA "Brazil" "Bahia" NA "estrada de terra para a Faz. Vargem Grande, saindo da rodovia Contendas do SincorÃ¡-AnagÃ©." 11 3 2011 "Carvalho-Sobrinho, J.G.de" "2959" "Caatinga." "gbif"
"Cavanillesia umbellata Ruiz & Pav." -41.535278 -14.162222 "HUEFS" "171808" NA "Brazil" "Bahia" NA "estrada para Sussuarana, ca. 15km do entroncamento." 13 3 2011 "Carvalho-Sobrinho, J.G.de" "2968" "Caatinga." "gbif"
"Cavanillesia umbellata Ruiz & Pav." -41.168333 -14.6375 "HUEFS" "175720" NA "Brazil" "Bahia" NA "estrada para a barragem." 16 7 2011 "Carvalho-Sobrinho, J.G.de" "3178" "Caatinga arbÃ³rea." "gbif"
"Cavanillesia umbellata Ruiz & Pav." -42.0725 -22.76 "HUEFS" "176071" NA "Brazil" "Rio de Janeiro" NA "rodovia para Cabo Frio." 4 8 2011 "Carvalho-Sobrinho, J.G.de" "3199" "Fragmento de mata estacional na beira da estrada, com Cavanillesia, Ceiba e muitas Bignoniaceae lianescentes" "gbif"
"Cavanillesia arborea (Willd.) K.Schum." -41.284297 -19.441252 "CVRD" "12533" "Folli, D. A." "Brazil" "Mg" NA NA 3 9 2009 "Luz, A.A. da" "508" "<ll>dwc_commonname:</ll> Barriguda" "gbif"
"Cavanillesia arborea (Willd.) K.Schum." -40.521111 -12.417222 "HUEFS" "132053" NA "Brazil" "Bahia" NA "ARIE Serra do OrobÃ³, Fazenda LeÃ£o dos Brejos." 18 1 2008 "Cardoso, D." "2295" "Fragmento de floresta estacional." "gbif"
"Cavanillesia arborea (Willd.) K.Schum." -40.5211 -12.4172 NA "1182814" NA "Brazil" "Bahia" "Itaberaba" "ARIE Serra do OrobÃ³, Fazenda LeÃ£o dos Brejos." 18 1 2008 "D. B. O. S. Cardoso" "2295" NA "gbif"
"Cavanillesia umbellata Ruiz & Pav." -41.577778 -12.350278 "ALCB" "82626" "Guedes, ML; Prates, ARS" "Brazil" "Bahia" NA "Chapada Diamantina, Lagoa de Santa Rita" 7 2 2008 "VenÃ¢ncio, AF; Esteves, F" "25" "de ca 4 m de altura, CAP de 30 cm . Casca lisa, indivÃ­duo jovem. Folhas simples. Material estÃ©ril.; Floresta Estacional DecÃ­dua, Solo Raso calcÃ¡rio." "gbif"
"Cavanillesia umbellata Ruiz & Pav." -40.443889 -18.776944 "MBML-HERBARIO" "35647" "J.G. Carvalho Sobrinho/IX-2016" "Brazil" "EspÃ­rito Santo" NA "Ãrea de ProteÃ§Ã£o Ambiental da Pedra do Elefante" 18 7 2008 "A. M. Amorim" "7560" NA "gbif"
"Cavanillesia umbellata Ruiz & Pav." -40.443889 -18.776944 "MBML_HERBARIO" "35647" "J.G. Carvalho Sobrinho/IX-2016" "Brazil" "EspÃ­rito Santo" NA "Ãrea de ProteÃ§Ã£o Ambiental da Pedra do Elefante" 18 7 2008 "A. M. Amorim" "7560" NA "gbif"
"Cavanillesia umbellata Ruiz & Pav." -39.7075 -14.181389 "ALCB" "86585" "Guedes, ML" "Brazil" "Bahia" NA "Litoral Sul, Mata da Botinha" 15 9 2008 "Ramos, C.H.A.; Alves, L. de J.; Santos, CE" "402" "de ca 8 m de altura. Flores com tomentos ferrugÃ­neos. Fruto alado imaturo." "gbif"
"Cavanillesia arborea (Willd.) K.Schum." -42.247222 -13.296389 "HUEFS" "119342" "R.M.Santos" "Brazil" "Bahia" NA NA 29 4 2007 "ConceiÃ§Ã£o, A.A." "1975" "Caatinga." "gbif"
"Cavanillesia arborea (Willd.) K.Schum." -44.32 -13.586111 "HUEFS" "118291" "R.M.Santos" "Brazil" "Bahia" NA "Ca, 5 Km S em estrada de terra que cruza pequeno ramal que sai a 5.1 km E de Ponto d'Ã¡gua, a 24,4 Km S de SÃ£o FÃ©lix do Coribe na estrada para Coribe." 11 4 2007 "Queiroz, L.P.de" "12794" "Floresta estacional." "gbif"
"Cavanillesia arborea (Willd.) K.Schum." -39.183889 -12.161667 "HUEFS" "120068" NA "Brazil" "Bahia" NA "Fazenda Retiro, ca. 18 Km de Feira de Santana na Estrada do FeijÃ£o sentido IpirÃ¡." 22 5 2007 "Cardoso, D." "1981" "Floresta estacional semidecÃ­dua com dossel a ca. 20 m alt. e afloramentos rochosos no topo da serra." "gbif"
"Cavanillesia arborea (Willd.) K.Schum." -44.968889 -12.376944 "HUEFS" "122673" NA "Brazil" "Bahia" NA "BR 135." 2 7 2007 "Santos, R.M." "1736" "Caatinga arbÃ³rea e afloramento de calcÃ¡rio." "gbif"
"Cavanillesia arborea (Willd.) K.Schum." -44.968889 -12.376944 "HUEFS" "122710" NA "Brazil" "Bahia" NA "BR 135." 2 7 2007 "Santos, R.M." "1773" "Caatinga arbÃ³rea e afloramento de calcÃ¡rio." "gbif"
"Cavanillesia arborea (Willd.) K.Schum." -44.666667 -14.381389 "HUEFS" "126672" NA "Brazil" "Bahia" NA "Faz. de Joel Gonzaga." 18 7 2007 "ValadÃ£o, R.de M." "606" "Mata decÃ­dua, antropizada." "gbif"
"Cavanillesia arborea (Willd.) K.Schum." -42.225556 -13.290833 "HUEFS" "121638" NA "Brazil" "Bahia" NA "Caieiras." 5 7 2007 "ConceiÃ§Ã£o, A.A." "2393" "Caatinga arbÃ³rea." "gbif"
"Cavanillesia umbellata Ruiz & Pav." -44.666667 -14.381389 "ALCB" "80074" "Guedes, ML" "Brazil" "Bahia" NA "Oeste, Faz. de Joel Gonzaga" 18 7 2007 "ValadÃ£o, R. de M.; Guedes, ML" "606" "de ca 15 m de altura. InflorescÃªncia cÃ¡lice com tomentos ferrugÃ­neos, botÃµes rÃ³seos, pÃ©talas e estames alvos. Frutos imaturos jovens verdes." "gbif"
"Cavanillesia arborea (Willd.) K.Schum." NA NA "HUEFS" "122632" NA "Brazil" "Bahia" NA NA 2 7 2007 "Santos, R.M." "1695" "TransiÃ§Ã£o caatinga - Floresta" "gbif"
"Cavanillesia arborea (Willd.) K.Schum." -40.43 -20.095556 "MBML_HERBARIO" "31618" "V. Demuner 30/08/2007" "Brazil" "EspÃ­rito Santo" NA "Colina Verde, Morro do Agudo, D. Maria" 30 8 2007 "R.R. Vervloet" "3370" "Ãrvore 12m, frutos imaturos de cor verde avermelhados. Ambiente rupestre." "gbif"
"Cavanillesia arborea (Willd.) K.Schum." -40.43 -20.095556 "MBML-HERBARIO" "31618" "V. Demuner 30/08/2007" "Brazil" "EspÃ­rito Santo" NA "Colina Verde, Morro do Agudo, D. Maria" 30 8 2007 "R.R. Vervloet" "3370" "Ãrvore 12m, frutos imaturos de cor verde avermelhados. Ambiente rupestre." "gbif"
"Cavanillesia arborea (Willd.) K.Schum." -43.915972 -19.891611 "BHCB" "130224" NA "Brazil" "Minas Gerais" NA "Museu de HistÃ³ria Natural e Jardim BotÃ¢nico UFMG, Coletada na Ã¡rea das plantas medicinais. Ãrea 7." 28 9 2007 "Felix, DF; Massensini JÃºnior, A" "268" "ArbÃ³rea de 20 a 25 metros de altura. Fruto sÃ¢mara penta-alada de cor beje escura.; DESC: ArbÃ³rea de 20 a 25 metros de altura. Fruto sÃ¢mara penta-alada de cor beje escura." "gbif"
"Cavanillesia arborea (Willd.) K.Schum." -44.548611 -14.274444 "HUEFS" "128853" NA "Brazil" "Bahia" NA "Faz. SÃ£o Domingos." 22 9 2007 "Guedes, M.L.S." "13601" "Mata de Galeria." "gbif"
"Cavanillesia umbellata Ruiz & Pav." -74.306111 -11.1425 "E" "E00509174" NA "Peru" "JunÃ­n" NA "Road Puerto Ocopa - Atalaya" 25 9 2007 "Pennington, R.Toby" "1927" NA "gbif"
"Cavanillesia arborea (Willd.) K.Schum." NA NA "CVRD" "10544" "Folli, D. A." "Brazil" "Mg" NA NA 7 11 2007 "Folli, D.A." "5762" "<ll>dwc_commonname:</ll> Barriguda" "gbif"
"Cavanillesia arborea (Willd.) K.Schum." -40.431667 -20.093889 "MBML-HERBARIO" "27156" "V. Demuner & L.F.S. Magnago, 14-set-06" "Brazil" "EspÃ­rito Santo" NA "Morro Agudo, Prop.: Dona Maria" 14 9 2006 "V. Demuner" "2884" "Ãrvore 15m, fuste 9m, Dap 60cm, frutos marrom (barriguda). Interior de mata." "gbif"
"Cavanillesia arborea (Willd.) K.Schum." -40.431667 -20.093889 "MBML_HERBARIO" "27156" "V. Demuner & L.F.S. Magnago, 14-set-06" "Brazil" "EspÃ­rito Santo" NA "Morro Agudo, Prop.: Dona Maria" 14 9 2006 "V. Demuner" "2884" "Ãrvore 15m, fuste 9m, Dap 60cm, frutos marrom (barriguda). Interior de mata." "gbif"
"Cavanillesia arborea (Willd.) K.Schum." -40.734722 -18.906944 "MBML-HERBARIO" "28319" "V. Demuner & L.F.S. Magnago, 17-out-06" "Brazil" "EspÃ­rito Santo" NA "16 de Abril" 17 10 2006 "V. Demuner" "2905" "Ãrvore 20m, fuste 17m, DAP 1m, frutos marrom. Interior de mata alterada." "gbif"
"Cavanillesia arborea (Willd.) K.Schum." -40.734722 -18.906944 "MBML_HERBARIO" "28319" "V. Demuner & L.F.S. Magnago, 17-out-06" "Brazil" "EspÃ­rito Santo" NA "16 de Abril" 17 10 2006 "V. Demuner" "2905" "Ãrvore 20m, fuste 17m, DAP 1m, frutos marrom. Interior de mata alterada." "gbif"
"Cavanillesia arborea (Willd.) K.Schum." NA NA "CVRD" "9823" "Folli, D. A." "Brazil" "Es" NA NA 1 11 2006 "Folli, D.A." "5395" "Fazenda 3 Marias <ll>dwc_commonname:</ll> Barriguda" "gbif"
"Cavanillesia arborea (Willd.) K.Schum." -44.953333 -12.378889 "HUEFS" "94359" "R.M.Santos" "Brazil" "Bahia" NA "BR 135, em direÃ§Ã£o Ã  InhaÃºmas." 6 4 2005 "Carvalho-Sobrinho, J.G.de" "475" "Mata semidecidual (cerrado) com Cavanilesia, Pseudobombax." "gbif"
