id,order,genus,Epitet,Sp name,Complete name
459,RODENTIA,Abrawayaomys,ruschii,Abrawayaomys ruschii,"A. ruschii Cunha & Cruz, 1979"
460,RODENTIA,Akodon,azarae,Akodon azarae,"A. azarae (G. Fischer, 1829)"
461,RODENTIA,Akodon,cursor,Akodon cursor,"A. cursor (Winge, 1887)"
462,RODENTIA,Akodon,lindberghi,Akodon lindberghi,"A. lindberghi Hershkovitz, 1990"
463,RODENTIA,Akodon,montensis,Akodon montensis,"A. montensis Thomas, 1913"
464,RODENTIA,Akodon,mystax,Akodon mystax,"A. mystax Hershkovitz, 1998"
465,RODENTIA,Akodon,paranaensis,Akodon paranaensis,"A. paranaensis Christoff, Fagundes, Sbalqueiro, Mattevi & Yonenaga-Yassuda, 2000"
466,RODENTIA,Akodon,reigi,Akodon reigi,"A. reigi González, Langguth & Oliveira, 1998"
467,RODENTIA,Akodon,sanctipaulensis,Akodon sanctipaulensis,"A. sanctipaulensis Hershkovitz, 1990"
468,RODENTIA,Akodon,serrensis,Akodon serrensis,"A. serrensis Thomas, 1902"
469,RODENTIA,Akodon,toba,Akodon toba,"A. toba Thomas, 1921"
126,PRIMATES,Alouatta,belzebul,Alouatta belzebul,"A. belzebul (Linnaeus, 1766)"
127,PRIMATES,Alouatta,caraya,Alouatta caraya,"A. caraya (Humboldt, 1812)"
128,PRIMATES,Alouatta,discolor,Alouatta discolor,"A. discolor (Spix, 1823)"
129,PRIMATES,Alouatta,guariba,Alouatta guariba,"A. guariba (Humboldt, 1812)"
130,PRIMATES,Alouatta,juara,Alouatta juara,"A. juara Elliot, 1910 "
131,PRIMATES,Alouatta,macconnelli,Alouatta macconnelli,"A. macconnelli Elliot, 1910"
132,PRIMATES,Alouatta,nigerrima,Alouatta nigerrima,"A. nigerrima Lönnberg, 1941"
133,PRIMATES,Alouatta,puruensis,Alouatta puruensis,"A. puruensis Lönnberg, 1941 "
134,PRIMATES,Alouatta,seniculus,Alouatta seniculus,"A. seniculus (Linnaeus, 1766)"
135,PRIMATES,Alouatta,ululata,Alouatta ululata,"A. ululata Elliot, 1912"
327,CHIROPTERA,Ametrida,centurio,Ametrida centurio,"A. centurio Gray, 1847"
328,CHIROPTERA,Anoura,caudifer,Anoura caudifer,"A. caudifer (É. Geoffroy, 1818) 7"
329,CHIROPTERA,Anoura,geoffroyi,Anoura geoffroyi,"A. geoffroyi Gray, 1838"
120,PRIMATES,Aotus,azarae,Aotus azarae,"A. azarae (Humboldt, 1811)"
121,PRIMATES,Aotus,infulatus,Aotus infulatus,"A. infulatus (Kuhl, 1820)"
122,PRIMATES,Aotus,nancymaae,Aotus nancymaae,"A. nancymaae Hershkovitz, 1983"
