"scientificname";"longitude";"latitude";"collectioncode";"catalognumber";"identifiedby";"country";"stateprovince";"county";"locality";"daycollected";"monthcollected";"yearcollected";"collector";"collectornumber";"notes";"source"
"Cavanillesia arborea";0;0;"BCTW";"19506";"";"Brasil";"Minas Gerais";"Itacarambi";"";NA;NA;NA;"";"";"enviado por Harri em 11/1994";"splink"
"Cavanillesia arborea";0;0;"BAH";"3499";"Scardino, Noblick, Paranhos, Guedes, C. Queiroz, Paganucci, Nascimento, N. Suely, Quaglia.";"Brasil";"Bahia";"Cachoeira";"EstaÁ„o da Mata (Bananeiras).";NA;10;1980;"Go. Pedra do Cavalo";"801";"¡rvore de 15-20 m de altura e com tronco abaulado, flores e botıes vermelho-alaranjados.";"splink"
"Cavanillesia arborea";-46.724306;-14.539583;"CNMT";"3313";"";"Brasil";"Goi·s";"Alvorada do Norte";"Fazenda It˙";25;8;2003;"Sevilha, A.C.; Guarino,E.S.G.;Pereira,J.B.";"3084";"Cerca de 12 metros de altura";"splink"
"Cavanillesia arborea";-46.723889;-14.539167;"CNMT";"3313";"";"Brasil";"Goi·s";"Alvorada do Norte";"Fazenda It˙";25;8;2003;"Sevilha, A.C.; Guarino,E.S.G.;Pereira,J.B.";"3084";"Ponto 3; Ambiente : Cerrado(Floresta Estacional Decimal); Relevo: Altiplano; Substrato: Neossolo QuartzorÍnico; Flor: Branca; Fruto: Imaturo Verde; Tubo Da Corola Vin·ceo, Estame Brancos ; Sobre afloramento calc·rio.";"splink"
"Cavanillesia arborea";-46.723889;-14.539167;"CNMT";"3358";"";"Brasil";"Goi·s";"Alvorada do Norte";"Fazenda It˙";25;8;2003;"Sevilha, A.C.; Guarino,E.S.G.;Pereira,J.B.";"3084";"Ponto 3; Ambiente : Cerrado(Floresta Estacional Decimal); Relevo: Altiplano; Substrato: Neossolo QuartzorÍnico; Flor: Branca; Fruto: Imaturo Verde; Tubo Da Corola Vin·ceo, Estame Brancos ; Sobre afloramento calc·rio.";"splink"
"Cavanillesia umbellata";0;0;"HPL";"4291";"V.C. Souza";"Brasil";"BA";"Ibotirama";"Coletada na estrada para Barreiras.";18;8;1994;"H. Lorenzi";"1601";"";"splink"
"Cavanillesia umbellata";0;0;"HPL";"4292";"V.C. Souza";"Brasil";"MG";"Janu·ria";"Coletada na fazenda Santa cecÌlia de Sebasti„o Mentans.";18;8;1994;"H. Lorenzi";"1649";"";"splink"
"Cavanillesia arborea";0;0;"CEPEC";"3067";"J. A. Kallunki";"Brasil";"Bahia";"JUSSARÕ";"";24;7;1967;"R. S. Pinheiro";"135";"Ambiente: Mata Higrofila. Habito: ¡rvore maior que 20m e menor que 50m";"splink"
"Cavanillesia arborea";0;0;"CEPEC";"7099";"T. S. dos Santos";"Brasil";"Bahia";"ITAPEBÕ";"Faz. Ventania Estr. velha ao Rio Jequitinhonha.";17;8;1971;"T. S. dos Santos";"1856";"Ambiente: Mata Higrofila. Habito: ¡rvore maior que 5m e menor 20m";"splink"
"Cavanillesia arborea";0;0;"CEPEC";"81031";"M. L. Guedes";"Brasil";"Bahia";"feira de santana";"prox. a cidade. Faz. Havana.";NA;NA;NA;"M. L. Guedes";"6236";"Ambiente: Area de transiÁao c/ pastagem. Habito: ¡rvore maior que 5m e menor 20m";"splink"
