"scientificname"	"longitude"	"latitude"	"collectioncode"	"catalognumber"	"identifiedby"	"country"	"stateprovince"	"county"	"locality"	"daycollected"	"monthcollected"	"yearcollected"	"collector"	"collectornumber"	"notes"	"source"	"remove.type"
"Cavanillesia arborea (Willd.) K.Schum."	NA	NA	"CVRD"	"14487"	"Folli, D. A"	"Brazil"	"Es"	NA	NA	13	8	2013	"Folli, D.A."	"7103"	"Mata de aluvial na cabruca cacau. <ll>dwc_commonname:</ll> Barriguda"	"gbif"	"lat. NA"
"Cavanillesia umbellata Ruiz & Pav."	NA	NA	"HUEFS"	"171827"	NA	"Brazil"	"Bahia"	NA	"localidade de Porto Novo, 8km da vila em direção a Santana."	15	3	2011	"Carvalho-Sobrinho, J.G.de"	"2987"	"Caatinga sobre afloramentos calcários."	"gbif"	"lat. NA"
"Cavanillesia arborea (Willd.) K.Schum."	NA	NA	"HUEFS"	"122632"	NA	"Brazil"	"Bahia"	NA	NA	2	7	2007	"Santos, R.M."	"1695"	"Transição caatinga - Floresta"	"gbif"	"lat. NA"
"Cavanillesia arborea (Willd.) K.Schum."	NA	NA	"CVRD"	"10544"	"Folli, D. A."	"Brazil"	"Mg"	NA	NA	7	11	2007	"Folli, D.A."	"5762"	"<ll>dwc_commonname:</ll> Barriguda"	"gbif"	"lat. NA"
"Cavanillesia arborea (Willd.) K.Schum."	NA	NA	"CVRD"	"9823"	"Folli, D. A."	"Brazil"	"Es"	NA	NA	1	11	2006	"Folli, D.A."	"5395"	"Fazenda 3 Marias <ll>dwc_commonname:</ll> Barriguda"	"gbif"	"lat. NA"
"Cavanillesia umbellata Ruiz & Pav."	NA	NA	"HPL"	"4291"	"V.C. Souza"	"Brazil"	"Ba"	NA	"Coletada na estrada para Barreiras."	18	8	1994	"H. Lorenzi"	"1601"	NA	"gbif"	"lat. NA"
"Cavanillesia umbellata Ruiz & Pav."	NA	NA	"HPL"	"4292"	"V.C. Souza"	"Brazil"	"Mg"	NA	"Coletada na fazenda Santa cecília de Sebastião Mentans."	18	8	1994	"H. Lorenzi"	"1649"	NA	"gbif"	"lat. NA"
"Cavanillesia arborea (Willd.) K.Schum."	NA	NA	"Botany"	"2206906"	NA	"Brazil"	"GoiÃ¡s"	"Flores de Goias"	"Alvorada do Norte."	9	9	1994	"B. A. S. Pereira"	"2615"	NA	"gbif"	"lat. NA"
"Cavanillesia umbellata Ruiz & Pav."	NA	NA	"MO"	"1715469"	"R. Foster, 89"	"Bolivia, Plurinational State of"	"Beni"	NA	NA	29	5	1992	"Stephan G. Beck"	"Beck 16640"	NA	"gbif"	"lat. NA"
"Cavanillesia arborea (Willd.) K.Schum."	NA	NA	"HUEFS"	"24143"	NA	"Brazil"	"Goiás"	NA	NA	16	8	1990	"Cavalcanti, T.B."	"713"	NA	"gbif"	"lat. NA"
"Cavanillesia umbellata Ruiz & Pav."	NA	NA	"MO"	"3057560"	NA	"Peru"	"Loreto"	NA	"Km. 98 d ela Carretera Pucallpa-Huanuco. Prov. Coronel Portillo, Calleria.bosque tropical seco."	3	7	1968	"Salas"	"Salas 19"	NA	"gbif"	"lat. NA"
"Cavanillesia arborea (Willd.) K.Schum."	NA	NA	"Botany"	"704540"	NA	"Brazil"	"Bahia"	NA	"Forests of Rio Grongogy Basin, State of Bahia"	1	10	1915	"H. M. Curran"	"s.n."	NA	"gbif"	"lat. NA"
"Cavanillesia umbellata Ruiz & Pav."	NA	NA	"MO"	"1910365"	NA	"Peru"	NA	NA	"Vulg. Pipio et arbol del amber in Peruvia ad Huayaguil."	NA	NA	1799	"Hipólito Ruiz L.|José A. Pavón"	"Ruiz López 1646"	NA	"gbif"	"lat. NA"
"Cavanillesia arborea (Willd.) K.Schum."	NA	NA	"Botany"	"USw31652"	NA	"Brazil"	"Minas Gerais"	NA	NA	NA	NA	NA	"A. Mattos"	"RB 90037"	NA	"gbif"	"lat. NA"
"Cavanillesia arborea (Willd.) K.Schum."	NA	NA	"Botany"	"L.1068454"	NA	"Brazil"	"Bahía"	NA	"Rio Crongogy"	NA	NA	NA	"Curran  HM"	NA	NA	"gbif"	"lat. NA"
"Cavanillesia arborea (Willd.) K.Schum."	NA	NA	"Botany"	"L.1068453"	NA	"unknown or invalid"	NA	NA	NA	NA	NA	NA	"Unknown"	NA	NA	"gbif"	"lat. NA"
