"issues" "scientificName" "decimalLongitude" "decimalLatitude" "collectionCode" "catalogNumber" "identifiedBy" "country" "stateProvince" "county" "locality" "day" "month" "year" "recordedBy" "recordNumber" "occurrenceRemarks"
"GEODETIC_DATUM_ASSUMED_WGS84" "Cavanillesia arborea (Willd.) K.Schum." -46.8675 -13.744167 "HEPH" "32252" NA "Brazil" "Goiás" NA "Entrada de Nova Roma" 25 8 2016 "Jesus, FPR de" "412" "Muito frequente; Árvore 15m; flor creme; fruto verde, fica marrom quando maduro; Campo rupestre; solo rochoso"
"GEODETIC_DATUM_ASSUMED_WGS84" "Cavanillesia umbellata Ruiz & Pav." -39.046944 -12.221389 "HUEFS" "195680" NA "Brazil" "Bahia" NA "Fazenda Cruzeiro do Mocó." 13 5 2013 "Queiroz, A.S." "45" NA
"" "Cavanillesia arborea (Willd.) K.Schum." NA NA "CVRD" "14487" "Folli, D. A" "Brazil" "Es" NA NA 13 8 2013 "Folli, D.A." "7103" "Mata de aluvial na cabruca cacau. <ll>dwc_commonname:</ll> Barriguda"
"GEODETIC_DATUM_ASSUMED_WGS84" "Cavanillesia arborea (Willd.) K.Schum." -40.331256 -19.825304 "CVRD" "13900" "Folli, D. A." "Brazil" "Es" NA NA 19 9 2012 "Folli, D.A." "6914" "<ll>dwc_commonname:</ll> Barriguda"
"" "Cavanillesia umbellata Ruiz & Pav." NA NA "HUEFS" "171827" NA "Brazil" "Bahia" NA "localidade de Porto Novo, 8km da vila em direção a Santana." 15 3 2011 "Carvalho-Sobrinho, J.G.de" "2987" "Caatinga sobre afloramentos calcários."
"GEODETIC_DATUM_ASSUMED_WGS84" "Cavanillesia umbellata Ruiz & Pav." -41.063611 -13.929167 "HUEFS" "171799" NA "Brazil" "Bahia" NA "estrada de terra para a Faz. Vargem Grande, saindo da rodovia Contendas do Sincorá-Anagé." 11 3 2011 "Carvalho-Sobrinho, J.G.de" "2959" "Caatinga."
"GEODETIC_DATUM_ASSUMED_WGS84" "Cavanillesia umbellata Ruiz & Pav." -41.535278 -14.162222 "HUEFS" "171808" NA "Brazil" "Bahia" NA "estrada para Sussuarana, ca. 15km do entroncamento." 13 3 2011 "Carvalho-Sobrinho, J.G.de" "2968" "Caatinga."
"GEODETIC_DATUM_ASSUMED_WGS84" "Cavanillesia umbellata Ruiz & Pav." -41.168333 -14.6375 "HUEFS" "175720" NA "Brazil" "Bahia" NA "estrada para a barragem." 16 7 2011 "Carvalho-Sobrinho, J.G.de" "3178" "Caatinga arbórea."
"GEODETIC_DATUM_ASSUMED_WGS84" "Cavanillesia umbellata Ruiz & Pav." -42.0725 -22.76 "HUEFS" "176071" NA "Brazil" "Rio de Janeiro" NA "rodovia para Cabo Frio." 4 8 2011 "Carvalho-Sobrinho, J.G.de" "3199" "Fragmento de mata estacional na beira da estrada, com Cavanillesia, Ceiba e muitas Bignoniaceae lianescentes"
"GEODETIC_DATUM_ASSUMED_WGS84" "Cavanillesia arborea (Willd.) K.Schum." -41.284297 -19.441252 "CVRD" "12533" "Folli, D. A." "Brazil" "Mg" NA NA 3 9 2009 "Luz, A.A. da" "508" "<ll>dwc_commonname:</ll> Barriguda"
"GEODETIC_DATUM_ASSUMED_WGS84" "Cavanillesia arborea (Willd.) K.Schum." -40.521111 -12.417222 "HUEFS" "132053" NA "Brazil" "Bahia" NA "ARIE Serra do Orobó, Fazenda Leão dos Brejos." 18 1 2008 "Cardoso, D." "2295" "Fragmento de floresta estacional."
"GEODETIC_DATUM_ASSUMED_WGS84" "Cavanillesia arborea (Willd.) K.Schum." -40.5211 -12.4172 NA "1182814" NA "Brazil" "Bahia" "Itaberaba" "ARIE Serra do Orobó, Fazenda Leão dos Brejos." 18 1 2008 "D. B. O. S. Cardoso" "2295" NA
"GEODETIC_DATUM_ASSUMED_WGS84,IDENTIFIED_DATE_UNLIKELY" "Cavanillesia umbellata Ruiz & Pav." -41.577778 -12.350278 "ALCB" "82626" "Guedes, ML; Prates, ARS" "Brazil" "Bahia" NA "Chapada Diamantina, Lagoa de Santa Rita" 7 2 2008 "Venâncio, AF; Esteves, F" "25" "de ca 4 m de altura, CAP de 30 cm . Casca lisa, indivíduo jovem. Folhas simples. Material estéril.; Floresta Estacional Decídua, Solo Raso calcário."
"GEODETIC_DATUM_ASSUMED_WGS84" "Cavanillesia umbellata Ruiz & Pav." -40.443889 -18.776944 "MBML-HERBARIO" "35647" "J.G. Carvalho Sobrinho/IX-2016" "Brazil" "Espírito Santo" NA "Área de Proteção Ambiental da Pedra do Elefante" 18 7 2008 "A. M. Amorim" "7560" NA
"GEODETIC_DATUM_ASSUMED_WGS84" "Cavanillesia umbellata Ruiz & Pav." -40.443889 -18.776944 "MBML_HERBARIO" "35647" "J.G. Carvalho Sobrinho/IX-2016" "Brazil" "Espírito Santo" NA "Área de Proteção Ambiental da Pedra do Elefante" 18 7 2008 "A. M. Amorim" "7560" NA
"GEODETIC_DATUM_ASSUMED_WGS84,IDENTIFIED_DATE_UNLIKELY" "Cavanillesia umbellata Ruiz & Pav." -39.7075 -14.181389 "ALCB" "86585" "Guedes, ML" "Brazil" "Bahia" NA "Litoral Sul, Mata da Botinha" 15 9 2008 "Ramos, C.H.A.; Alves, L. de J.; Santos, CE" "402" "de ca 8 m de altura. Flores com tomentos ferrugíneos. Fruto alado imaturo."
"GEODETIC_DATUM_ASSUMED_WGS84,IDENTIFIED_DATE_UNLIKELY" "Cavanillesia arborea (Willd.) K.Schum." -42.247222 -13.296389 "HUEFS" "119342" "R.M.Santos" "Brazil" "Bahia" NA NA 29 4 2007 "Conceição, A.A." "1975" "Caatinga."
"GEODETIC_DATUM_ASSUMED_WGS84,IDENTIFIED_DATE_UNLIKELY" "Cavanillesia arborea (Willd.) K.Schum." -44.32 -13.586111 "HUEFS" "118291" "R.M.Santos" "Brazil" "Bahia" NA "Ca, 5 Km S em estrada de terra que cruza pequeno ramal que sai a 5.1 km E de Ponto d'água, a 24,4 Km S de São Félix do Coribe na estrada para Coribe." 11 4 2007 "Queiroz, L.P.de" "12794" "Floresta estacional."
"GEODETIC_DATUM_ASSUMED_WGS84" "Cavanillesia arborea (Willd.) K.Schum." -39.183889 -12.161667 "HUEFS" "120068" NA "Brazil" "Bahia" NA "Fazenda Retiro, ca. 18 Km de Feira de Santana na Estrada do Feijão sentido Ipirá." 22 5 2007 "Cardoso, D." "1981" "Floresta estacional semidecídua com dossel a ca. 20 m alt. e afloramentos rochosos no topo da serra."
"GEODETIC_DATUM_ASSUMED_WGS84" "Cavanillesia arborea (Willd.) K.Schum." -44.968889 -12.376944 "HUEFS" "122673" NA "Brazil" "Bahia" NA "BR 135." 2 7 2007 "Santos, R.M." "1736" "Caatinga arbórea e afloramento de calcário."
"GEODETIC_DATUM_ASSUMED_WGS84" "Cavanillesia arborea (Willd.) K.Schum." -44.968889 -12.376944 "HUEFS" "122710" NA "Brazil" "Bahia" NA "BR 135." 2 7 2007 "Santos, R.M." "1773" "Caatinga arbórea e afloramento de calcário."
"GEODETIC_DATUM_ASSUMED_WGS84" "Cavanillesia arborea (Willd.) K.Schum." -44.666667 -14.381389 "HUEFS" "126672" NA "Brazil" "Bahia" NA "Faz. de Joel Gonzaga." 18 7 2007 "Valadão, R.de M." "606" "Mata decídua, antropizada."
"GEODETIC_DATUM_ASSUMED_WGS84" "Cavanillesia arborea (Willd.) K.Schum." -42.225556 -13.290833 "HUEFS" "121638" NA "Brazil" "Bahia" NA "Caieiras." 5 7 2007 "Conceição, A.A." "2393" "Caatinga arbórea."
"GEODETIC_DATUM_ASSUMED_WGS84,IDENTIFIED_DATE_UNLIKELY" "Cavanillesia umbellata Ruiz & Pav." -44.666667 -14.381389 "ALCB" "80074" "Guedes, ML" "Brazil" "Bahia" NA "Oeste, Faz. de Joel Gonzaga" 18 7 2007 "Valadão, R. de M.; Guedes, ML" "606" "de ca 15 m de altura. Inflorescência cálice com tomentos ferrugíneos, botões róseos, pétalas e estames alvos. Frutos imaturos jovens verdes."
"" "Cavanillesia arborea (Willd.) K.Schum." NA NA "HUEFS" "122632" NA "Brazil" "Bahia" NA NA 2 7 2007 "Santos, R.M." "1695" "Transição caatinga - Floresta"
"GEODETIC_DATUM_ASSUMED_WGS84" "Cavanillesia arborea (Willd.) K.Schum." -40.43 -20.095556 "MBML_HERBARIO" "31618" "V. Demuner 30/08/2007" "Brazil" "Espírito Santo" NA "Colina Verde, Morro do Agudo, D. Maria" 30 8 2007 "R.R. Vervloet" "3370" "Árvore 12m, frutos imaturos de cor verde avermelhados. Ambiente rupestre."
"GEODETIC_DATUM_ASSUMED_WGS84" "Cavanillesia arborea (Willd.) K.Schum." -40.43 -20.095556 "MBML-HERBARIO" "31618" "V. Demuner 30/08/2007" "Brazil" "Espírito Santo" NA "Colina Verde, Morro do Agudo, D. Maria" 30 8 2007 "R.R. Vervloet" "3370" "Árvore 12m, frutos imaturos de cor verde avermelhados. Ambiente rupestre."
