datelastmodified,institutioncode,basisofrecord,kingdom,phylum,class,ordem,fieldnumber,julianday,timeofday,continentocean,longitude_mun,latitude_mun,coordinateprecision,boundingbox,minimumelevation,maximumelevation,minimumdepth,maximumdepth,sex,preparationtype,individualcount,previouscatalognumber,relationshiptype,relatedcatalogitem,habitat,habito,descrindividuo,taxonhospedeiro,codcolbot,locfisico1,locfisico2,aux_nomecompunidgeo_invertido,codespecime,numtombo,familia,genero,sp,autorsp,infrasp,nat_typus,taxoncompleto,pais,estado_prov,cidade,descrlocal,latitude,longitude,coletor,numcoleta,diacoleta,mescoleta,anocoleta,determinador,diadeterm,mesdeterm,anodeterm,notas,bioma_ibge,codtestemunho,siglacolecao,precisao_coord,dataultalter,coleccorrelat,tipoespecime,statconserv,unidconserv,altitude,altprofmaxima,siglaunidmed,altura,unidmedaltura,duplicatas,detpor,datacoleta,desaparecido
"2014-07-08","JBRJ",,"Plantae",,,,,,,,,,,,,,,,,,,,,,,,"Terrestre, botão marrom, flor branca",,"3172",,,"Brasil, Espírito Santo, Linhares","809253","584726","BOMBACACEAE","Cavanillesia","arborea","K.Schum.",,,"Cavanillesia arborea K.Schum.","Brasil","Espírito Santo","Linhares","Linhares a Colatina Beira Rio. ",,,"Folli, D.A.","7103","13","8","2013","D.A. Folli","13","8","2013","Terrestre, botão marrom, flor branca",,"809253","RB","  ","2014-07-08","RBd:BOMBACACEAE Cavanillesia","Exsicata de planta","Não",,,,,,,".","Det.: D.A. Folli (em 13-VIII-2013)","13-VIII-2013",
"2014-07-22","JBRJ",,"Plantae",,,,,,,,,,,,,,,,,,,,,,,,"Árvore decidua, 18 m alt. frutos imaturos coor verde-amarelado.",,"3172",,,"Brasil, Goiás, Guarani de Goiás","58977","336742","BOMBACACEAE","Cavanillesia","arborea","K.Schum.",,,"Cavanillesia arborea K.Schum.","Brasil","Goiás","Guarani de Goiás","Km 16 da estrada Posse/ Guarani de Goiás. ",,,"Pereira, B.A.S.","2819","13","8","1995","J. Teixeira",,"9","1998","Árvore decidua, 18 m alt. frutos imaturos coor verde-amarelado.",,"58977","RB","  ","2014-07-22","RBd:BOMBACACEAE Cavanillesia","Exsicata de planta","Não",,"650 m",,,,,,"Det.: J. Teixeira (em IX-1998)","13-VIII-1995",
"2014-07-22","JBRJ",,"Plantae",,,,,,,,,,,,,,,,,,,,,,,,"Àrvore decídua, ca. 20m alt. Tronco espesso, em forma de tonel. Corola alva ; cálice avaermelhado. ",,"3172",,,"Brasil, Goiás, Guarani de Goiás","58960","330969","BOMBACACEAE","Cavanillesia","arborea","K.Schum.",,,"Cavanillesia arborea K.Schum.","Brasil","Goiás","Guarani de Goiás","Proxímo á Vila Clarentina. . ",,,"Pereira, B.A.S.","3121","4","7","1996","B.A. S. Pereira",,"7","1996","Àrvore decídua, ca. 20m alt. Tronco espesso, em forma de tonel. Corola alva ; cálice avaermelhado. ",,"58960","RB","  ","2014-07-22","RBd:BOMBACACEAE Cavanillesia","Exsicata de planta","Não",,"680 m",,,,,,"Det.: B.A. S. Pereira (em VII-1996)","04-VII-1996",
"2014-07-22","JBRJ",,"Plantae",,,,,,,,,,,,,,,,,,,,,,,,"Árvore ca. 12m de alt. com grande protuberancia no tronco, decídua. Frutos quase maduros com sementes comidas por psitacideos.",,"3172",,,"Brasil, Goiás","58923","284152","BOMBACACEAE","Cavanillesia","arborea","K.Schum.",,,"Cavanillesia arborea K.Schum.","Brasil","Goiás",,"A margem da BR- 020, 10 km após a cidade de Alvorada do Norte. ",,,"Pereira, B.A.S.","1337","8","10","1988","J. Teixeira","23","6","1998","Árvore ca. 12m de alt. com grande protuberancia no tronco, decídua. Frutos quase maduros com sementes comidas por psitacideos.",,"58923","RB","  ","2014-07-22","RBd:BOMBACACEAE Cavanillesia","Exsicata de planta","Não",,,,,,,,"Det.: J. Teixeira (em 23-VI-1998)","08-X-1988",
"2014-08-20","JBRJ",,"Plantae",,,,,,,,,,,,,,,,,,,,,,,,"Arbórea, terrestre, botão verde, flor branca, exudação incolor, descamação ausente, fuste cilíndrico, casca áspera, 15 m de altura, fuste com 3 m de altura e 150 cm de cap, copa com 10 m de diâmetro. Exudação: Seiva
",,"3172",,,"Brasil, Minas Gerais, Itueta","871737","603590","BOMBACACEAE","Cavanillesia","arborea","K.Schum.",,,"Cavanillesia arborea K.Schum.","Brasil","Minas Gerais","Itueta","Estrada de Quatituba à Tabaúba. ",,,"A.A. Luz","508","3","9","2009","D.A. Folli","3","9","2009","Arbórea, terrestre, botão verde, flor branca, exudação incolor, descamação ausente, fuste cilíndrico, casca áspera, 15 m de altura, fuste com 3 m de altura e 150 cm de cap, copa com 10 m de diâmetro. Exudação: Seiva
",,"871737","RB","  ","2014-08-20","RBd:BOMBACACEAE Cavanillesia","Exsicata de planta","Não",,,,,,,"RB.","Det.: D.A. Folli (em 03-IX-2009)","03-IX-2009",
"2014-07-22","JBRJ",,"Plantae",,,,,,,,,,,,,,,,,,,,,,,,"Àrvore, 15 m de alt. sem folhas, frutos grandes alaranjados, árvore n° 493 cultivado.",,"3172",,,"Brasil, Rio de Janeiro, Rio de Janeiro","58937","255250","BOMBACACEAE","Cavanillesia","arborea","K.Schum.",,,"Cavanillesia arborea K.Schum.","Brasil","Rio de Janeiro","Rio de Janeiro","Jardim Botânico. ",,,"Nadruz, M.","108","7","10","1986","M. Nadruz","1","12","1986","Àrvore, 15 m de alt. sem folhas, frutos grandes alaranjados, árvore n° 493 cultivado.",,"58937","RB","  ","2014-07-22","RBd:BOMBACACEAE Cavanillesia","Exsicata de planta","Não",,,,,,,,"Det.: M. Nadruz (em 01-XII-1986)","07-X-1986",
"2014-08-20","JBRJ",,"Plantae",,,,,,,,,,,,,,,,,,,,,,,,"Arbórea, 30 m de altura, Terrestre, fruto maduro marrom, fruto imaturo verde, exudação incolor, descamação ausente, fuste cilíndrico, casca áspera, fuste com 20 m de altura, copa com 5 m de diâmetro. Exudação: Seiva",,"3172",,,"Brasil, Espírito Santo, Linhares","871670","603531","BOMBACACEAE","Cavanillesia","arborea","K.Schum.",,,"Cavanillesia arborea K.Schum.","Brasil","Espírito Santo","Linhares","Fazenda Três Marias,  Beira Rio Linhares à Colatina. ",,,"Folli, D.A.","5395","1","11","2006","D.A. Folli","1","11","2006","Arbórea, 30 m de altura, Terrestre, fruto maduro marrom, fruto imaturo verde, exudação incolor, descamação ausente, fuste cilíndrico, casca áspera, fuste com 20 m de altura, copa com 5 m de diâmetro. Exudação: Seiva",,"871670","RB","  ","2014-08-20","RBd:BOMBACACEAE Cavanillesia","Exsicata de planta","Não",,,,,,,"RB.","Det.: D.A. Folli (em 01-XI-2006)","01-XI-2006",
"2014-07-22","JBRJ",,"Plantae",,,,,,,,,,,,,,,,,,,,,,,,"Àrvore decídua ca. 20m alt. Tronco muito espesso e bojudo. Flores alvas ",,"3172",,,"Brasil, Goiás, Posse","58933","363683","BOMBACACEAE","Cavanillesia","arborea","K.Schum.",,,"Cavanillesia arborea K.Schum.","Brasil","Goiás","Posse","No km 15 da estrada Posse / Guarani de Goiás. ",,,"Pereira, B.A.S.","2818","13","8","1995","B.A. S. Pereira",,"8","1995","Àrvore decídua ca. 20m alt. Tronco muito espesso e bojudo. Flores alvas ",,"58933","RB","  ","2014-07-22","RBd:BOMBACACEAE Cavanillesia","Exsicata de planta","Não",,"780 m",,,,,,"Det.: B.A. S. Pereira (em VIII-1995)","13-VIII-1995",
"2014-07-22","JBRJ",,"Plantae",,,,,,,,,,,,,,,,,,,,,,,,"Árvore de 20 m alt. flores em botão.",,"3172",,,"Brasil, Rio de Janeiro, Rio de Janeiro","58968","292628","BOMBACACEAE","Cavanillesia","arborea","K.Schum.",,,"Cavanillesia arborea K.Schum.","Brasil","Rio de Janeiro","Rio de Janeiro","Jardim Botânico do Rio de Janeiro, canteiro 26 a, plaqueta sumida. Placa antiga 4297. Jardim Botânico do Rio de Janeiro",,,"Fontella, J.","2759","9","8","1991",,,,,"Árvore de 20 m alt. flores em botão.",,"58968","RB","  ","2014-07-22","RBd:BOMBACACEAE Cavanillesia","Exsicata de planta","Não","Jardim Botânico do Rio de Janeiro",,,,,,,,"09-VIII-1991",
"2014-12-18","JBRJ",,"Plantae",,,,,,,,,,,,,,,,,,,,,,,,"Terrestre; porte arbóreo, 23,0m, fuste 16m, CAP 310cm, copa 10m; botão marrom, flor branca; exsudação incolor",,"3172",,,"Brasil, Espírito Santo, Linhares","909241","613198","BOMBACACEAE","Cavanillesia","arborea","K.Schum.",,,"Cavanillesia arborea K.Schum.","Brasil","Espírito Santo","Linhares","Linhares a Colatina Beira Rio. ",,,"Folli, D.A.","7103","13","8","2013","D.A. Folli","13","8","2013","Terrestre; porte arbóreo, 23,0m, fuste 16m, CAP 310cm, copa 10m; botão marrom, flor branca; exsudação incolor",,"909241","RB","  ","2014-12-18","RBd:BOMBACACEAE Cavanillesia","Exsicata de planta","Não",,,,,,,".","Det.: D.A. Folli (em 13-VIII-2013)","13-VIII-2013",
