datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes
"2015-01-08 11:04:00-02"	USP	SPFW	554	"Aralia warmingiana"	S	Plantae				Araliaceae	Aralia	warmingiana		"(Marchal) J.Wen"	"P. Fiaschi 2012"					315		"Ceccantini, G.C.T."	1994	01	01				Brasil	"Minas Gerais"	Patrocínio	"Serra do Salitre"	-46.993611	-18.944722					1050	1050									
"2015-08-18 16:19:11-03"	ESALQ	ESA	ESA096201	"Aralia warmingiana"	S	Plantae	Magnoliophyta			Araliaceae	Aralia	warmingiana		(March.)I.Wen	"Lovato, M.C."	2004						"Pavão, O.C. et al."	2001	04	03				Brasil	Paraná	"Primeiro de Maio"		0	0	-51.0283	-22.8506	18944												
"2015-08-18 16:19:11-03"	ESALQ	ESA	ESA110074	"Aralia warmingiana"	S	Plantae	Magnoliophyta			Araliaceae	Aralia	warmingiana								70		"Toniato, M.T.Z. ; Barreto, T.E."							Brasil	"São Paulo"	Gália		0	0	-49.55	-22.29	23314												
"2016-01-20 16:51:18-02"	MBM	MBM	157192	"Aralia warmingiana"	S	Plantae				Araliaceae	Aralia	warmingiana		"(Marchal) Wen"	"Sobral, M"					549		"Tramujas, AP"	1991	11	09			"Southern America"	Brazil	Paraná	Pinhão	"Reserva Rio dos Touros"	0	0	-51.6597	-25.6956	37408		0	0									
"2016-05-04 08:04:15-03"	Cenargen	CEN	41685	"Aralia warmingiana"	S	Plantae				Araliaceae	Aralia	warmingiana		"(Marchal) J.Wen"	"P. Fiaschi"					2947		"Marina de Lourdes Fonseca Resende"							Brasil	GO	"GUARANI DE GOIAS"	"Fazenda Forquilha. (Mata 3). Prop. Sr. Vigilato Francisco Neto."	-46.53	-13.80333					475	475				Exsicatas	1				"Árvore heliófito. Folhas discolores verde. Cálice verde, flores, botões e estames alvos. (Linha 2, parcela 15, árvore 305). Doação do Herbário IBGE - Reserva Ecológica do IBGE. Plantas do Brasil - Goiás."
"2015-09-15 09:53:15-03"	UFU	HUFU	23122	"Aralia warmingiana"	S	Plantae				Araliaceae	Aralia	warmingiana		"(Marchal) J.Wen"	"Soares-Silva, L.H."	1994				1682		"Silva, F.C. e"	1994	03	18				Brasil	Paraná	Londrina	"Floresta Godoy-Próximo parc. 5 e14 da porção norte."	0	0	-51.1628	-23.3103	63728		0	0					0				"DESC:Árvore, ca. 30 m. Botão floral e flores creme.;"
"2016-07-22 18:33:47-03"	FURB	FURB	20629	"Aralia warmingiana"	S	Plantae	Dicotyledon			Araliaceae	Aralia	warmingiana		"(Marchal) J.Wen"	"Stival-Santos, A"	2009	05	13		1524		"Stival-Santos, A; Schmitt, J; Silveira, S"	2009	05	13				Brasil	"Santa Catarina"	"Palma Sola"	Escondida	-53.3775	-26.471944					709	709									"Fito IFFSC 6005 /L/10"
"2016-07-20 11:46:31-03"	UNESPRC	HRCB	39355	"Aralia warmingiana"	S	Plantae				Araliaceae	Aralia	warmingiana		"(Marchal) J. Wen"	"Mendoza, M."	2015	09	25		198		"Tomasetto, F."	2001	11	20				Brasil	"São Paulo"	"Paulo de Faria"	"Estação Ecológica de Paulo de Faria"	-49.516667	-19.916667					500	500									"Árvore ca. 20m, botões creme, interior da mata."
"2016-03-24 13:54:03-03"	UFES	VIES	758	"Aralia warmingiana"	S	Plantae				Araliaceae	Aralia	warmingiana		"(Marchal) J. Wen"						s.n.		"Vinha, P.C."	1985	05	06				Brasil	"Espírito Santo"	Vitória	"Campus da UFES - Goiabeiras, Floresta de Tabuleiro."	-40.304167	-20.276667					0	0									"Árvore com 5 m de altura. Flor alva."
"2016-09-05 16:01:57-03"	UFSM	HDCF	6040	"Aralia warmingiana"	S	Plantae				Araliaceae	Aralia	warmingiana		"(Marchal) J. Wen"	"Longhi, S. J."	2007	10	23		s.n.		"Scipioni, M. C.; Meyer, E. A."	2007	10	10			América	Brasil	"Rio Grande do Sul"	"Frederico Westphalen"		0	0	-53.3944	-27.3592	16988												"Ocorre na Floresta do Alto Uruguai e eventualmente na Floresta da Encosta meridional do Planalto"
"2016-09-05 16:01:57-03"	UFSM	HDCF	6041	"Aralia warmingiana"	S	Plantae				Araliaceae	Aralia	warmingiana		"(Marchal) J. Wen"	"Longhi, S. J."	2007	10	23		s.n.		"Scipioni, M. C.; Meyer, E. A."	2007	10	10			América	Brasil	"Rio Grande do Sul"	"Frederico Westphalen"		0	0	-53.3944	-27.3592	16988												
"2016-07-26 09:48:23-03"	UFVJM	HDJF	825	"Aralia warmingiana"	S	Plantae				Araliaceae	Aralia	warmingiana		"(Marchal) J. Wen"	"Machado; E.LM."	2012	09	11				"Oliveira, A.C.C.; Machado, E.L.M."	2012	09					Brasil	"Minas Gerais"	"Presidente Juscelino"	"Presidente Juscelino, Minas Gerais, Zona rural"	-44.0825	-18.644444															
"2016-07-26 09:48:23-03"	UFVJM	HDJF	826	"Aralia warmingiana"	S	Plantae				Araliaceae	Aralia	warmingiana		"(Marchal) J. Wen"	"Machado; E.LM."	2012	09	11				"Oliveira, A.C.C.; Machado, E.L.M."	2012	09					Brasil	"Minas Gerais"	"Presidente Juscelino"	"Presidente Juscelino, Minas Gerais, Zona rural"	-44.0825	-18.644444															
"2015-05-29 11:21:20-03"	IPA	IPA	50582	"Coemansia warmingiana"	S	Plantae				Araliaceae	Coemansia	warmingiana		Marchal	"Barroso, G.M."	1983	10	11		91		"Pinto, G.C.P.; Bautista, H.P.; Bautista, H.P."	1983	05	25			"Southern America"	Brasil	Bahia	Itiuba	"Fazenda Experimental da EPABA"	0	0	-39.8536	-10.6917	37230												"Árvore de aproximadamente 6m de altura, fuste retilíneo com casca , lembrando o pau-d'arco roxo; madeira mole.; Vegetação: Floresta Estacional Decidual."
"2015-05-29 11:21:20-03"	IPA	IPA	27289	"Coudenbergia warmingiana"	S	Plantae				Araliaceae	Coudenbergia	warmingiana		"(Marchal) Marchal"	"Zoé Brito"	1980	12	15		55		"Zoé Brito"	1980	11	12			"Southern America"	Brasil	Pernambuco	"Serra Talhada"	"Estação Experimental do IPA, numa unidade experimental do Projeto Caprino."	0	0	-38.2983	-7.99194	55090												"Árvore ca. 3,5m de altura. Rara.; Caatinga. Solo pedregoso."
"2016-08-22 16:21:32-03"	UNESPIBB	BOTU	27175	"Aralia warmingiana"	S	Plantae				Araliaceae	Aralia	warmingiana		"(Marchal) J. Wen"	"Soares e Silva, L.H."	1994				11379		"Chagas e Silva, F."	1994	03	18				Brasil	Paraná	Londrina		0	0	-51.1628	-23.3103	63728												"Árvore, 30 metros de altura; botão floral e flores creme; suber lenhoso, corte creme."
"2016-11-08 09:46:46-02"	CPAN-UFMS	COR	11572	"Aralia cf. warmingiana"	S	Plantae				Araliaceae	Aralia	"cf. warmingiana"		"(Marchal) J. Wen"	"M. Mendoza, 21/01/2016"					3863		"Damasceno Jr., G.A.;Maria,V.R.; Batilani,J.; Pott,A; Velasques,J."	2005	09	08				Brasil	MS	"Porto Murtinho"	"Fazenda Harmonia - Rio Perdido"	-56.696111	-21.283583													"Hábito: árvore 1m Ambiente: Mata ciliar do Perdido; ; curso dágua encaixado entre morros"		
"2016-07-27 18:42:08-03"	UFMG	BHCB	32691	"Aralia warmingiana"	S	Plantae	Dicotyledon			Araliaceae	Aralia	warmingiana		"(Marchal) J.Wen"						s.n.								"Southern America"	Brasil	"Minas Gerais"	"Lagoa Santa"	"Carste de Lagoa Santa"	0	0	-43.8897	-19.6272	12338		0	0									
"2016-07-27 18:42:08-03"	UFMG	BHCB	32691	"Aralia warmingiana"	S	Plantae	Dicotyledon			Araliaceae	Aralia	warmingiana		"(Marchal) J.Wen"						s.n.								"Southern America"	Brasil	"Minas Gerais"	"Lagoa Santa"	"Carste de Lagoa Santa"	0	0	-43.8897	-19.6272	12338		0	0									
"2017-02-20 15:34:35-03"	NYBG	NYBG_BR	00935759	"Aralia warmingiana"	S	Plantae	Magnoliophyta		Apiales	Araliaceae	Aralia	warmingiana			"J. Wen"					s.n.		"J. Kulhmann"	1935	11	01			"South America"	Brasil	"Minas Gerais"	Viçosa	Viçosa	-42.8817	-20.7542															"<a href=\"http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995099\" target=\"other\" class=\"eLink\"> <mi>dwc_moreinfo</mi></a>"
"2017-02-20 15:34:35-03"	NYBG	NYBG_BR	00958278	"Aralia warmingiana"	S	Plantae	Magnoliophyta		Apiales	Araliaceae	Aralia	warmingiana			"J. Wen"					R5047		"J. A. Ratter"	1985	09	15			"South America"	Brasil	"Minas Gerais"		"Sagarana, Projeto Integrado de Colonizaçao (INCRA), NW Minas Gerais"	-47	-16															"<a href=\"http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022190\" target=\"other\" class=\"eLink\"> <mi>dwc_moreinfo</mi></a>"
"2017-02-20 15:34:35-03"	NYBG	NYBG_BR	00958279	"Aralia warmingiana"	S	Plantae	Magnoliophyta		Apiales	Araliaceae	Aralia	warmingiana			"J. Wen"					R5047		"J. A. Ratter"	1985	09	15			"South America"	Brasil	"Minas Gerais"		"Sagarana, Projeto Integrado de Colonizaçao (INCRA), NW Minas Gerais"	-47	-16															"<a href=\"http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022192\" target=\"other\" class=\"eLink\"> <mi>dwc_moreinfo</mi></a>"
"2017-02-20 15:34:35-03"	NYBG	NYBG_BR	1144310	"Aralia warmingiana"	S	Plantae	Magnoliophyta		Apiales	Araliaceae	Aralia	warmingiana								1962		"D. B. O. S. Cardoso"	2007	05	22			"South America"	Brasil	Bahia	Anguera	"Fazenda Retiro, ca. 18 km de Feira de Santana na Estrada do Feijão sentido Ipirá."	-39.1839	-12.1617					300	600									"<a href=\"http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1287245\" target=\"other\" class=\"eLink\"> <mi>dwc_moreinfo</mi></a>"
"2017-01-23 16:46:34-02"	UFRGS	ICN	021640	"Aralia warmingiana"	S	Plantae	Dicotyledon			Araliaceae	Aralia	warmingiana		"(Marchal) J. Wen"	"Fiaschi, P"					s.n.		"Lima, DA"	1973	01	30			"América do Sul"	Brasil	RS	Derrubadas	"Tenente Portela"	0	0	-53.8608	-27.2647	18158												"Espécie ameaçada de extinção (Em perigo)."
"2017-01-23 16:46:34-02"	UFRGS	ICN	083770	"Aralia warmingiana"	S	Plantae	Dicotyledon			Araliaceae	Aralia	warmingiana		"(Marchal) J. Wen"	"Fiaschi, P"					s.n.		"Nelson, A"						"América do Sul"	Brasil	RS	"Dois Irmãos"	"BR 116 Km 65"	0	0	-51.0853	-29.5803	7716												"Espécie ameaçada de extinção (Em perigo)."
