datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes
"2013-04-01 09:15:59-03"	IPT	BCTW	19506	"Cavanillesia arborea"	S	Plantae	Magnoliophyta	Magnoliopsida			Cavanillesia	arborea		Aubl.															Brasil	"Minas Gerais"	Itacarambi		0	0	-44.0919	-15.1022	47793												"enviado por Harri em 11/1994"
"2013-07-03 11:10:39-03"	EBDA	BAH	3499	"Cavanillesia arborea"	S	Plantae				Malvaceae	Cavanillesia	arborea		K.Schum.	"Scardino, Noblick, Paranhos, Guedes, C. Queiroz, Paganucci, Nascimento, N. Suely, Quaglia."					801		"Go. Pedra do Cavalo"	1980	10					Brasil	Bahia	Cachoeira	"Estação da Mata (Bananeiras)."	0	0	-38.9558	-12.6183	26884												"Árvore de 15-20 m de altura e com tronco abaulado, flores e botões vermelho-alaranjados."
"2015-04-22 11:59:11-03"	UFMT	CNMT	3313	"Cavanillesia arborea"	S	Plantae	Angiospermas			Bombacaceae	Cavanillesia	arborea		"(Willd.) K.Schum."						3084		"Sevilha, A.C.; Guarino,E.S.G.;Pereira,J.B."	2003	08	25				Brasil	Goiás	"Alvorada do Norte"	"Fazenda Itú"	-46.724306	-14.539583					491	491									"Cerca de 12 metros de altura"
"2015-04-22 11:59:44-03"	UFMT	CNMT	3313	"Cavanillesia arborea"	S	Plantae	Angiospermas			Malvaceae	Cavanillesia	arborea		"(Willd.) K.Schum."						3084		"Sevilha, A.C.; Guarino,E.S.G.;Pereira,J.B."	2003	08	25				Brasil	Goiás	"Alvorada do Norte"	"Fazenda Itú"	-46.723889	-14.539167					491	491									"Ponto 3; Ambiente : Cerrado(Floresta Estacional Decimal); Relevo: Altiplano; Substrato: Neossolo Quartzorênico; Flor: Branca; Fruto: Imaturo Verde; Tubo Da Corola Vináceo, Estame Brancos ; Sobre afloramento calcário."
"2015-04-22 11:59:44-03"	UFMT	CNMT	3358	"Cavanillesia arborea"	S	Plantae	Angiospermas			Malvaceae	Cavanillesia	arborea		"(Willd.) K.Schum."						3084		"Sevilha, A.C.; Guarino,E.S.G.;Pereira,J.B."	2003	08	25				Brasil	Goiás	"Alvorada do Norte"	"Fazenda Itú"	-46.723889	-14.539167					491	491									"Ponto 3; Ambiente : Cerrado(Floresta Estacional Decimal); Relevo: Altiplano; Substrato: Neossolo Quartzorênico; Flor: Branca; Fruto: Imaturo Verde; Tubo Da Corola Vináceo, Estame Brancos ; Sobre afloramento calcário."
"2015-07-02 14:02:42-03"	JBP	HPL	4291	"Cavanillesia umbellata"	S	Plantae				Malvaceae	Cavanillesia	umbellata		"Ruiz & Pav."	"V.C. Souza"	2012	06	26		1601		"H. Lorenzi"	1994	08	18				Brasil	BA	Ibotirama	"Coletada na estrada para Barreiras."	0	0	-43.2206	-12.1853	71086												
"2015-07-02 14:02:42-03"	JBP	HPL	4292	"Cavanillesia umbellata"	S	Plantae				Malvaceae	Cavanillesia	umbellata		"Ruiz & Pav."	"V.C. Souza"	2012	06	25		1649		"H. Lorenzi"	1994	08	18				Brasil	MG	Januária	"Coletada na fazenda Santa cecília de Sebastião Mentans."	0	0	-44.3617	-15.4881	148972												
"2014-07-14 16:23:28-03"	CEPLAC	CEPEC	3067	"Cavanillesia arborea"	S					Bombacaceae	Cavanillesia	arborea		Schum.	"J. A. Kallunki"					135		"R. S. Pinheiro"	1967	07	24				Brasil	Bahia	JUSSARÍ		0	0	-39.4953	-15.1914	21386		0	0									"Ambiente: Mata Higrofila. Habito: Árvore maior que 20m e menor que 50m"
"2014-07-14 16:23:28-03"	CEPLAC	CEPEC	7099	"Cavanillesia arborea"	S					Bombacaceae	Cavanillesia	arborea		Schum.	"T. S. dos Santos"					1856		"T. S. dos Santos"	1971	08	17				Brasil	Bahia	ITAPEBÍ	"Faz. Ventania Estr. velha ao Rio Jequitinhonha."	0	0	-39.5339	-15.9508	43726												"Ambiente: Mata Higrofila. Habito: Árvore maior que 5m e menor 20m"
"2014-07-14 16:23:28-03"	CEPLAC	CEPEC	81031	"Cavanillesia arborea"	S					Bombacaceae	Cavanillesia	arborea		"(Willd.)K. Schum."	"M. L. Guedes"					6236		"M. L. Guedes"							Brasil	Bahia	"feira de santana"	"prox. a cidade. Faz. Havana."	0	0	-38.9667	-12.2667	46325												"Ambiente: Area de transiçao c/ pastagem. Habito: Árvore maior que 5m e menor 20m"
"2014-07-14 16:23:28-03"	CEPLAC	CEPEC	81830	"Cavanillesia arborea"	S					Bombacaceae	Cavanillesia	arborea		Schum.	"A. M. Amorim"					2467		"A. M. Amorim"							Brasil	Bahia	JUSSARÍ	"Rod. Jussari/Palmira. Entrada ca. 7,5Km de Jussari. RPPN Serra do Teimoso."	-39.528611	-15.158056															"Ambiente: Mata Mesófila. Habito: Árvore maior que 20m e menor que 50m"
"2014-07-14 16:23:28-03"	CEPLAC	CEPEC	125209	"Cavanillesia umbellata"	S					Bombacaceae	Cavanillesia	umbellata		"Ruiz & Pav."	"J. G. de C.-Sobrinho"					7560		"A. M. Amorim"							Brasil	"Espirito Santo"	"NOVA VENÉCIA"	"Área de Proteção Ambiental da Pedra do Elefante. Trilha principal na Mata do Fuxico."	-40.443889	-18.776944					168	168									"Ambiente: Mata Estacional Semidecídua. Decídua. Habito: Árvore, ca. 18m."
"2016-01-21 13:07:52-02"	Unimontes	HMC	1969	"Cavanillesia arborea"	S	Plantae				Bombacaceae	Cavanillesia	arborea		"(Willd) K.Schum."	"Santos R.M."	2009	08	25				"Menino, G.C.O.; Braga, L.L.; Coutinho,C.A.; Oliveira, M.H.; Silva, W.A.;"	2009	08	16				Brasil	"Minas Gerais"	Januária	"APA do Rio Pandeiros"	0	0	-44.3617	-15.4881	148972												"Ilha 5"
"2016-01-21 13:08:15-02"	Unimontes	HMC	3585	"Cavanillesia arborea"	S	Plantae				Malvaceae	Cavanillesia	arborea										"Estagiarios LEPV"							Brasil	"Minas Gerais"	januaria		0	0	-44.3617	-15.4881	148972												"pandeiros mata seca"
"2016-01-21 13:08:15-02"	Unimontes	HMC	569	"Cavanillesia arborea 10"	S	Plantae				Malvaceae	Cavanillesia	arborea	10	Schum	"Santos R.M."					76		"Luz, G.R.; Coutinho, E.S.; Dantas, I.M.; Mota, G.S.; Mota, N.M.; Oliveira, M.H.; Rodrigues, P.L.; Silva, D.L.; Souza, M.L.; Souza, S.R.; Veloso, C.V.R.A.;"	2010	02	10				Brasil	"Minas Gerais"	Manga	"Parque Estadual da Mata Seca"	0	0	-43.9322	-14.7558	51351												
"2016-05-04 08:21:33-03"	Cenargen	CEN	23207	"Cavanillesia arborea"	S	Plantae				Malvaceae	Cavanillesia	arborea		"(Willd.) K. Schum"						713		"Taciana Barbosa Cavalcanti"							Brasil	GO	"CAMPOS BELOS"	"Estrada de terra Campos Belos - Divinópolis de Goiás; a 20 km do entroncamento com a GO-118."	0	0	-46.7717	-13.0367	70364		600	600				Exsicatas	4				"8 m altura."
"2016-05-04 08:21:33-03"	Cenargen	CEN	25654	"Cavanillesia arborea"	S	Plantae				Malvaceae	Cavanillesia	arborea		"(Willd.) K. Schum"	"B. A. S. Pereira"					2819		"Benedito Alísio da Silva Pereira"							Brasil	GO	"GUARANI DE GOIAS"	"Floresta decídua no km 16 da estrada Posse / Guarani de Goiás."	-46.583333	-13.916666					650	650				Exsicatas	1				"Doação da Fundação Instituto Brasileiro de Geografia e Estatística. Herbário da Reserva Ecológica do IBGE."
"2016-05-04 08:21:33-03"	Cenargen	CEN	56282	"Cavanillesia arborea"	S	Plantae				Malvaceae	Cavanillesia	arborea		"(Willd.) K. Schum"						3084		"Anderson Cássio Sevilha"							Brasil	GO	"ALVORADA DO NORTE"	"Fazenda Itú (Sr. Felipe). Ponto 3."	-46.723888	-14.539166					491	491				Exsicatas	3				"Tubo da corola vináceo, estames brancos. Sobre afloramento calcário."
"2016-05-04 08:21:33-03"	Cenargen	CEN	56782	"Cavanillesia arborea"	S	Plantae				Malvaceae	Cavanillesia	arborea		"(Willd.) K. Schum"	"A. C. Servilha"					1823		"Anderson Cássio Sevilha"							Brasil	GO	"SAO DOMINGOS"	"Fazenda Flor do Ermo. Prop. José Pereira."	-46.7725	-13.61556					400	400				Exsicatas	4				"Casca lisa com estrias rugosas de cor cinza. Casca viva verde por fora, amarela por dentro. Flores brancas quando novas e alaranjadas quando velhas."
"2016-06-23 10:32:23-03"	UFV	VIC	31454	"Cavanillesia arborea"	S	Plantae				Bombacaceae	Cavanillesia	arborea		"K. Schum."	"Valente, G.E."	2007	08	22		1976		"Valente, G.E.; Costa, C.A. da"	2007	08	22				Brasil	"Minas Gerais"	Viçosa	"Campus da UFV, Horto."	0	0	-42.8819	-20.7539	13937												"Árvore com cerca de 12 metros de altura. Dia 22/08/2007 totalmente desprovida de folhas. Inflorescência concentrada no ápice dos ramos com flores de cálice ferruginoso, corola branca, estilete branco com base rosada. Dia 15/10/2007, co"
"2016-09-29 11:37:57-03"	IMA	MAC	29514	"Cavanillesia umbellata"	S	Plantae				Malvaceae	Cavanillesia	umbellata		"Ruiz & Pav."	R.A.Costa	2007				34		R.A.Costa	2006	10	22				Brasil	"Rio Grande do Norte"	"São José de Mipibú"	"Tropical Eco Resort."	0	0	-35.2378	-6.07472	18927								0				"Árvore. Flores amarelas. Frutos verdes.HABITAT:Borda da Mata.;"
"2016-10-10 10:18:03-03"	MOBOT	MOBOT_BR	100658377	"Cavanillesia arborea"	S	Plantae				Malvaceae	Cavanillesia	arborea		"K. Schum."	"J. Kallunki"	2013				"Amorim 2467"		"André M. Amorim|Jomar G. Jardim|L.M. Berbert|J. Lima Paixão"	1998	08	13			"South America"	Brazil	Bahia	Jussari	"Rod. Jussari/Palmira. Entrada ca. 7.5 km de Jussari. Faz. Teimosos. RPPN Serra do Teimoso. Mata Mesófila."	-39.5286111	-15.1580556															
"2016-10-11 08:19:07-03"	SMITHSONIAN	NMNH_BOTANY_BR	2206906	"Cavanillesia arborea"	S	Plantae		Dicotyledonae	Malvales	Bombacaceae	Cavanillesia	arborea								2615		"B. A. S. Pereira"	1994	09	09			"South America - Neotropics"	Brazil	GoiÃ¡s	"Flores de Goias"	"Alvorada do Norte."	0	0	-47.0503	-14.4486	86423								1				
"2014-10-10 10:26:34-03"	IPA	IPA	56095	"Cavanillesia arborea"	S	Plantae				Bombacaceae	Cavanillesia	arborea		"K. Schum."	"Bocage, A."	1997	03			IPA-56095		"Alves, J.L.H."	1997	03				"Southern America"	Brasil	Pernambuco	Recife	"Dois Irmãos, Praça de Dois Irmãos."	0	0	-34.8811	-8.05389	18865												
"2016-09-19 16:08:21-03"	UnB	UB	21006	"Cavanillesia arborea"	S	Plantae	Dicotyledoneae			Malvaceae	Cavanillesia	arborea		"K. Schum."	"Pereira, BAS"					3121		"Pereira, BAS"	1996					"Southern America"	Brasil	Goiás	"Guarani de Goiás"		0	0	-46.4803	-13.9358	35901		9999	9999									.
"2016-04-29 15:52:39-03"	CVRD	CVRD	10544	"Cavanillesia arborea"	S	Plantae	Magnoliophyta	Magnoliopsida	Malvales	Bombacaceae	Cavanillesia	arborea		"K. Schum."	"Folli, D. A."	2007	11	07		5762		"Folli, D.A."	2007	11	07			"América do Sul"	BRASIL	MG	ITUETA		0	0	-41.1703	-19.3942	29671												"<ll>dwc_commonname:</ll> Barriguda"
"2016-04-29 15:52:39-03"	CVRD	CVRD	12533	"Cavanillesia arborea"	S	Plantae	Magnoliophyta	Magnoliopsida	Malvales	Bombacaceae	Cavanillesia	arborea		"K. Schum."	"Folli, D. A."	2009	09	03		508		"Luz, A.A. da"	2009	09	03			"América do Sul"	BRASIL	MG	ITUETA		-41.284297	-19.441252															"<ll>dwc_commonname:</ll> Barriguda"
"2016-04-29 15:52:39-03"	CVRD	CVRD	13900	"Cavanillesia arborea"	S	Plantae	Magnoliophyta	Magnoliopsida	Malvales	Bombacaceae	Cavanillesia	arborea		"K. Schum."	"Folli, D. A."	2012	09	19		6914		"Folli, D.A."	2012	09	19			"América do Sul"	BRASIL	ES	ARACRUZ		-40.331256	-19.825304					128	128									"<ll>dwc_commonname:</ll> Barriguda"
"2016-04-29 15:52:39-03"	CVRD	CVRD	14487	"Cavanillesia arborea"	S	Plantae	Magnoliophyta	Magnoliopsida	Malvales	Bombacaceae	Cavanillesia	arborea		"K. Schum."	"Folli, D. A"	2013	08	13		7103		"Folli, D.A."	2013	08	13			"América do Sul"	BRASIL	ES	LINHARES		0	0	-40.0722	-19.3911	48094		29	29									"Mata de aluvial na cabruca cacau. <ll>dwc_commonname:</ll> Barriguda"
"2016-04-29 15:52:39-03"	CVRD	CVRD	9823	"Cavanillesia arborea"	S	Plantae	Magnoliophyta	Magnoliopsida	Malvales	Bombacaceae	Cavanillesia	arborea		"K. Schum."	"Folli, D. A."	2006	11	01		5395		"Folli, D.A."	2006	11	01			"América do Sul"	BRASIL	ES	LINHARES		0	0	-40.0722	-19.3911	48094												"Fazenda 3 Marias <ll>dwc_commonname:</ll> Barriguda"
"2016-08-08 15:53:12-03"	UFMG	BHCB	130224	"Cavanillesia arborea"	S	Plantae	Dicotyledon			Malvaceae	Cavanillesia	arborea		K.Schum.		2007	10	08		268		"Felix, DF; Massensini Júnior, A"	2007	09	28			"Southern America"	Brasil	"Minas Gerais"	"Belo Horizonte"	"Museu de História Natural e Jardim Botânico UFMG, Coletada na área das plantas medicinais. Área 7."	-43.915972	-19.891611					810	810									"Arbórea de 20 a 25 metros de altura. Fruto sâmara penta-alada de cor beje escura.; DESC: Arbórea de 20 a 25 metros de altura. Fruto sâmara penta-alada de cor beje escura."
"2017-02-06 11:16:57-02"	UFMG	BHCB	53221	"Cavanillesia arborea"	S	Plantae	Dicotyledon			Malvaceae	Cavanillesia	arborea		K.Schum.						333		"Costa, LV; Amado, JC"						"Southern America"	Brasil	"Minas Gerais"	Itacarambi	"Rio Peruaçu."	-44.241389	-15.123306					0	0									
"2017-02-06 11:16:57-02"	UFMG	BHCB	58301	"Cavanillesia arborea"	S	Plantae	Dicotyledon			Malvaceae	Cavanillesia	arborea		K.Schum.						2369		"Mendes Magalhães"	1942	10	28			"Southern America"	Brasil	"Minas Gerais"	"Governador Valadares"	"Campo de Sementes"	0	0	-41.9494	-18.8511	50833		0	0									
"2016-12-20 20:40:54-02"	UFBA	ALCB	80074	"Cavanillesia umbellata"	S	Plantae	Dicotyledon			Malvaceae	Cavanillesia	umbellata		"A.Ruiz & Pav."	"Guedes, ML"	2007	07			606		"Valadão, R. de M.; Guedes, ML"	2007	07	18			"Southern America"	Brasil	Bahia	Cocos	"Oeste, Faz. de Joel Gonzaga"	-44.666667	-14.381389															"de ca 15 m de altura. Inflorescência cálice com tomentos ferrugíneos, botões róseos, pétalas e estames alvos. Frutos imaturos jovens verdes."
"2016-12-20 20:40:54-02"	UFBA	ALCB	82626	"Cavanillesia umbellata"	S	Plantae	Dicotyledon			Malvaceae	Cavanillesia	umbellata		"A.Ruiz & Pav."	"Guedes, ML; Prates, ARS"	2008	03			25		"Venâncio, AF; Esteves, F"	2008	02	07			"Southern America"	Brasil	Bahia	Iraquara	"Chapada Diamantina, Lagoa de Santa Rita"	-41.577778	-12.350278															"de ca 4 m de altura, CAP de 30 cm . Casca lisa, indivíduo jovem. Folhas simples. Material estéril.; Floresta Estacional Decídua, Solo Raso calcário."
"2016-12-20 20:40:54-02"	UFBA	ALCB	82626	"Cavanillesia umbellata"	S	Plantae	Dicotyledon			Malvaceae	Cavanillesia	umbellata		"A.Ruiz & Pav."	"Guedes, ML; Prates, ARS"	2008	03			25		"Venâncio, AF; Esteves, F"	2008	02	07			"Southern America"	Brasil	Bahia	Iraquara	"Chapada Diamantina, Lagoa de Santa Rita"	-41.577778	-12.350278															"de ca 4 m de altura, CAP de 30 cm . Casca lisa, indivíduo jovem. Folhas simples. Material estéril.; Floresta Estacional Decídua, Solo Raso calcário."
"2016-12-20 20:40:54-02"	UFBA	ALCB		"Cavanillesia umbellata"	S	Plantae	Dicotyledon			Malvaceae	Cavanillesia	umbellata		"A.Ruiz & Pav."						6236		"Guedes, ML; Velozo, ES"	1998	12	06			"Southern America"	Brasil	Bahia	"Feira de Santana"	"Paraguaçu, Próximo a cidade de Feira de Santana. Fazenda Havana"	-38.966667	-12.266667															"19 m. Sem folhas, totalmente frutificada. Ocasional.; com pastagem."
